,First Name,Last Name,Bib,Gender Pos,Split Name,Time of Day,Distance,Hours,Minutes,Seconds,Milliseconds
190,Matt,Belus,153,M17,Doe Spring,Sat 1:57:00 PM,57.5 mi,7,57,00,000
191,Matt,Belus,153,M17,Finish,Sat 2:24:36 PM,62.2 mi,8,24,36,298
192,Tara,Dower,8,F2,Start,Sat 6:00:03 AM,0.0 mi,00,00,03,280
193,Tara,Dower,8,F2,Antelope Mesa,Sat 6:52:19 AM,7.6 mi,00,52,19,219
194,Tara,Dower,8,F2,Hidden Treasure,Sat 7:28:13 AM,12.8 mi,1,28,13,750
195,Tara,Dower,8,F2,Bumble Bee,Sat 8:16:39 AM,19.2 mi,2,16,39,950
196,Tara,Dower,8,F2,Gloriana Mine,Sat 8:54:21 AM,23.8 mi,2,54,21,959
197,Tara,Dower,8,F2,Deep Canyon Ranch,Sat 10:01:39 AM,32.2 mi,4,01,39,009
198,Tara,Dower,8,F2,Black Canyon City,Sat 10:48:38 AM,37.7 mi,4,48,38,539
199,Tara,Dower,8,F2,Cottonwood Gulch,Sat 12:06:39 PM,45.3 mi,6,06,39,630
200,Tara,Dower,8,F2,Table Mesa,Sat 12:46:41 PM,49.4 mi,6,46,41,169
201,Tara,Dower,8,F2,Doe Spring,Sat 1:57:00 PM,57.5 mi,7,57,00,000
202,Tara,Dower,8,F2,Finish,Sat 2:25:08 PM,62.2 mi,8,25,08,949
203,Brandon,Gardiner,389,M18,Start,Sat 6:00:05 AM,0.0 mi,00,00,05,080
204,Brandon,Gardiner,389,M18,Antelope Mesa,Sat 6:47:40 AM,7.6 mi,00,47,40,539
205,Brandon,Gardiner,389,M18,Hidden Treasure,Sat 7:20:26 AM,12.8 mi,1,20,26,628
206,Brandon,Gardiner,389,M18,Bumble Bee,Sat 8:03:06 AM,19.2 mi,2,03,06,469
207,Brandon,Gardiner,389,M18,Gloriana Mine,Sat 8:37:15 AM,23.8 mi,2,37,15,709
208,Brandon,Gardiner,389,M18,Deep Canyon Ranch,Sat 9:45:53 AM,32.2 mi,3,45,53,718
209,Brandon,Gardiner,389,M18,Black Canyon City,Sat 10:32:53 AM,37.7 mi,4,32,53,309
210,Brandon,Gardiner,389,M18,Cottonwood Gulch,Sat 11:57:05 AM,45.3 mi,5,57,05,490
211,Brandon,Gardiner,389,M18,Table Mesa,Sat 12:43:22 PM,49.4 mi,6,43,22,019
212,Brandon,Gardiner,389,M18,Doe Spring,Sat 2:05:00 PM,57.5 mi,8,05,00,000
213,Brandon,Gardiner,389,M18,Finish,Sat 2:34:18 PM,62.2 mi,8,34,18,939
214,Jean-Philippe,Thibodeau,994,M19,Start,Sat 6:00:05 AM,0.0 mi,00,00,05,009
215,Jean-Philippe,Thibodeau,994,M19,Antelope Mesa,Sat 6:49:07 AM,7.6 mi,00,49,07,179
216,Jean-Philippe,Thibodeau,994,M19,Hidden Treasure,Sat 7:23:07 AM,12.8 mi,1,23,07,668
217,Jean-Philippe,Thibodeau,994,M19,Bumble Bee,Sat 8:10:15 AM,19.2 mi,2,10,15,099
218,Jean-Philippe,Thibodeau,994,M19,Gloriana Mine,Sat 8:46:03 AM,23.8 mi,2,46,03,838
219,Jean-Philippe,Thibodeau,994,M19,Deep Canyon Ranch,Sat 9:58:50 AM,32.2 mi,3,58,50,658
220,Jean-Philippe,Thibodeau,994,M19,Black Canyon City,Sat 10:46:19 AM,37.7 mi,4,46,19,500
221,Jean-Philippe,Thibodeau,994,M19,Cottonwood Gulch,Sat 12:04:10 PM,45.3 mi,6,04,10,598
222,Jean-Philippe,Thibodeau,994,M19,Table Mesa,Sat 12:46:31 PM,49.4 mi,6,46,31,169
223,Jean-Philippe,Thibodeau,994,M19,Doe Spring,Sat 2:06:00 PM,57.5 mi,8,06,00,000
224,Jean-Philippe,Thibodeau,994,M19,Finish,Sat 2:35:49 PM,62.2 mi,8,35,49,849
